name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New Delhi,2023-01-01T00:00:00,11,11,10,93.55,0,0,,0,0,10.8,5.4,250,1020,0,2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
New Delhi,2023-01-01T01:00:00,10,9.6,9,93.5,0,0,,0,0,11.2,5.4,250,1020,0,2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
New Delhi,2023-01-01T02:00:00,8.6,8.6,7.6,93.83,0,0,,0,0,11.2,0,307.7,1019.5,5,1.2,0,0,0,10,Clear,clear-night,"42182099999,VIDP,42181099999"
New Delhi,2023-01-01T03:00:00,10,10,9,93.5,0,0,,0,0,12.2,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
New Delhi,2023-01-01T04:00:00,9,8.5,9,100,0,0,,0,0,9.7,5.4,270,1019,0,1,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
New Delhi,2023-01-01T05:00:00,7.9,7.9,7.6,98.04,0,0,,0,0,7.2,0.7,270,1019.9,40,1,0,0,0,10,Partially cloudy,partly-cloudy-night,"42182099999,VIDP,42181099999"
New Delhi,2023-01-01T06:00:00,9,8.5,9,100,0,0,,0,0,5,5.4,300,1020,0,1,0,0,0,10,Clear,clear-night,"VIDP,42181099999"
New Delhi,2023-01-01T07:00:00,9,9,9,100,0,0,,0,0,5,3.6,250,1020,27.2,1,0,0,0,10,Partially cloudy,partly-cloudy-night,"VIDP,42181099999"
New Delhi,2023-01-01T08:00:00,9.9,9.9,9.3,96.22,0,0,,0,0,4.7,3.9,270,1021.8,37.5,1,1,0,0,10,Partially cloudy,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
New Delhi,2023-01-01T09:00:00,13,13,10,82.01,0,0,,0,0,4.3,5.4,250,1022,0,1,73,0.3,1,10,Clear,clear-day,"VIDP,42181099999"
New Delhi,2023-01-01T10:00:00,14,14,10,76.84,0,0,,0,0,1.8,9.4,250,1023,0,2,209,0.8,2,10,Clear,clear-day,"VIDP,42181099999"
